Document,Topic_group,Priority
Please order a privacy screen for MacBook,Purchase,Low
I cannot access the leave application tool,Access,High
System asks for admin rights to install printer,Access,Medium
My headset is playing mono audio only,Hardware,Low
We need a license for Tableau Viewer,Purchase,Low
Discrepancy in holiday pay,HR Support,Medium
I need to reset my voicemail password,Access,Low
Fan noise is too loud on the workstation,Hardware,Low
Quote for new firewall license,Purchase,Medium
Customer #331 wants a full refund,Billing,High
How do I claim LTA for my parents?,HR Support,Low
I need a new lanyard,HR Support,Low
The coffee machine is out of beans,Hardware,Low
Internet is slow in the meeting room B,Hardware,Medium
I need to install Python 3.11,Access,Low
Revoke access for the contractor,Access,High
Monitor is too bright even at 0%,Hardware,Low
We need to buy a license for Asana Premium,Purchase,Low
Where do I submit dental bills?,HR Support,Low
Cannot connect to the LDAP directory,Access,High
The backup job failed,Access,High
Spacebar is broken on keyboard,Hardware,Low
Requesting a quote for a 3D scanner,Purchase,Low
Billing issue with vendor Y Invoice #88,Billing,Medium
I did not receive my on-call pay,HR Support,Medium
Email signature is missing logo,Access,Low
I need a spare laptop charger,Hardware,Low
We need to purchase a 4K TV for the lobby,Purchase,Low
The server room door is open,Hardware,High
Forgot password for the wiki editor,Access,Medium
How many earned leaves can I carry forward?,HR Support,Low
My desktop won't turn on,Hardware,High
Please order 10 USB-C to USB-A adapters,Purchase,Low
502 Bad Gateway on the timesheet app,Access,Medium
TDS deduction is incorrect for Feb,HR Support,Medium
Webcam is showing black and white only,Hardware,Low
We need to renew the Office 365 Business subscription,Purchase,High
Cannot scan to network folder,Access,Medium
Payslip portal is down for maintenance,HR Support,Low
My USB drive is corrupted,Hardware,Medium
I need a wireless ergonomic mouse,Purchase,Low
Application crashes on startup error 0x0,Access,Medium
Client disputes the service hours,Billing,Medium
How do I change my emergency contact?,HR Support,Low
The laminator is jamming,Hardware,Low
I need a license for InVision,Purchase,Low
Cannot connect to the VPN from mobile hotspot,Access,Medium
My desk drawer is stuck,Hardware,Low
Please update the PO number on invoice #661,Billing,Low
I need access to the google analytics,Access,Medium
Laptop rubber foot fell off,Hardware,Low
Where can I find the employee handbook?,HR Support,Low
I forgot the admin password for the server,Access,High
We need to buy 20 legal pads,Purchase,Low
The TV in the breakroom has no remote,Hardware,Low
Invoice #881 was sent to wrong email,Billing,Medium
I cannot login to Jira Service Desk,Access,High
My computer is slow opening files,Hardware,Low
Requesting a lumbar cushion,Purchase,Low
What are the core support hours?,HR Support,Low
VPN authentication timed out,Access,High
My laptop battery is swelling,Hardware,High
Correction needed on invoice #554 address,Billing,Low
Please order a laptop stand,Purchase,Low
I cannot access the performance review system,Access,Medium
System keeps locking me out,Access,High
My headset wire is tangled and broken,Hardware,Low
We need a license for JetBrains DotUltimate,Purchase,Low
Bonus calculation seems wrong for Q1,HR Support,Medium
I need to reset my biometrics,Access,Medium
Hard drive makes clicking sound,Hardware,High
Quote for cloud storage expansion 10TB,Purchase,Medium
Customer #112 is asking for a credit note,Billing,Low
How do I claim mobile bill?,HR Support,Low
I need a new parking sticker,HR Support,Low
The vending machine is broken,Hardware,Low
Internet speed is very slow today,Hardware,High
I need to install Node.js 18,Access,Low
Grant me access to the QA environment,Access,Medium
Screen colors are washed out,Hardware,Medium
We need to buy a license for Trello Standard,Purchase,Low
Where do I submit 80C proofs?,HR Support,Low
Cannot access the marketing drive,Access,High
The mail server is down,Access,High
Enter key is broken on keyboard,Hardware,Medium
Requesting a quote for a portable screen,Purchase,Low
Billing currency needs to be EUR,Billing,Low
I did not receive my variable pay,HR Support,High
Email is going to junk folder,Access,Medium
I need a replacement for my mouse,Hardware,Low
We need to purchase a UPS for the server,Purchase,Medium
The fire alarm is chirping,Hardware,High
Forgot password for the expense system,Access,Medium
How many comp offs are valid?,HR Support,Low
My laptop screen is black,Hardware,High
Please order 20 post-it notes,Purchase,Low
403 Forbidden on the HR portal,Access,High
Professional tax is deducted wrongly,HR Support,Medium
Speaker is blown out,Hardware,Low
We need to renew the antivirus for 100 users,Purchase,High
Cannot print double-sided,Hardware,Low
Payslip is blank,HR Support,High
My SSD is failing smart check,Hardware,High
I need a dual monitor stand,Purchase,Low
Software license expired on Maya,Access,High
Client claims they paid invoice #33 already,Billing,High
How do I update my marital status?,HR Support,Low
The paper shredder is full,Hardware,Low
I need a license for Corel Painter,Purchase,Low
Cannot connect to the guest WiFi,Access,Low
My chair wheel is stuck,Hardware,Low
Please split the invoice,Billing,Low
I need access to the marketing assets,Access,Low
Laptop trackpad is jumping,Hardware,Medium
Where can I find the harassment policy?,HR Support,Low
I forgot the wifi password,Access,Low
We need to buy 100 markers,Purchase,Low
The digital signage is black,Hardware,Low
Invoice #990 is missing VAT,Billing,Medium
I cannot login to Confluence,Access,High
My computer restarts randomly,Hardware,High
Requesting a back support,Purchase,Low
Is Friday a holiday?,HR Support,Low
VPN connection dropped,Access,Medium
My laptop overheats on zoom,Hardware,Medium
Change the billing name for Client B,Billing,Low
Please order a screen cleaner,Purchase,Low
I cannot access the recruitment tool,Access,Medium
System requires restart loop,Hardware,High
My headset is tight on head,Purchase,Low
We need a license for LastPass,Purchase,Low
Salary slip shows wrong title,HR Support,Medium
I need to reset my PIN,Access,Medium
Fan is stopped working,Hardware,High
Quote for new CCTV system,Purchase,Medium
Customer #881 wants to cancel service,Billing,High
How do I claim fuel bills?,HR Support,Low
I need a new access card,HR Support,Low
The microwave is not heating,Hardware,High
Internet is unstable on wifi,Hardware,Medium
I need to install VS Code,Access,Low
Grant me access to the client VPN,Access,Medium
Screen is too dim,Hardware,Low
We need to buy a license for Spotify,Purchase,Low
Where do I submit HRA proofs?,HR Support,Low
Cannot access the shared printer,Access,Medium
The DNS server is down,Access,High
Shift key is broken,Hardware,Low
Requesting a quote for 5 headsets,Purchase,Low
Billing address zip code is wrong,Billing,Low
I did not receive my referral bonus,HR Support,Medium
Email delivery failure,Access,Medium
I need a replacement for my laptop,Hardware,High
We need to purchase a stapler,Purchase,Low
The server room is hot,Hardware,High
Forgot password for the travel portal,Access,Medium
How many days of leave can I carry over?,HR Support,Low
My laptop freezes on login,Hardware,High
Please order 5 extension cords,Purchase,Low
500 Internal Server Error,Access,High
PF deduction is wrong,HR Support,Medium
Audio jack is broken,Hardware,Low
We need to renew the domain name,Purchase,High
Cannot scan to folder,Access,Medium
Payslip amount is wrong,HR Support,High
My USB port is loose,Hardware,Medium
I need a wireless charger,Purchase,Low
App crashes on launch,Access,Medium
Client requested a breakdown,Billing,Low
How do I add a nominee?,HR Support,Low
The paper cutter is dull,Hardware,Low
I need a license for Premiere Pro,Purchase,Low
Cannot connect to VPN from home,Access,Medium
My desk is wobbling,Hardware,Low
Please consolidate invoices,Billing,Low
I need access to the finance folder,Access,High
Laptop screen has lines,Hardware,Medium
Where can I find the referral policy?,HR Support,Low
I forgot the admin password,Access,High
We need to buy 10 staplers,Purchase,Low
The smart TV is not working,Hardware,Low
Invoice #441 is missing,Billing,High
I cannot login to GitHub,Access,High
My computer beeps,Hardware,Medium
Requesting a wrist rest,Purchase,Low
What are the comp off rules?,HR Support,Low
VPN refuses connection,Access,High
My laptop battery is draining fast,Hardware,Medium
Update the VAT number,Billing,Low
Please order a webcam cover,Purchase,Low
I cannot access the training site,Access,Low
System has a virus,Access,High
My headset ear pad is torn,Hardware,Low
We need a license for Zoom Webinar,Purchase,Low
Salary deduction unexplained,HR Support,High
I need to reset my key fob,Access,Medium
Fan is vibrating,Hardware,Low
Quote for office painting,Purchase,High
Customer #332 wants to upgrade,Billing,Low
How do I claim relocation?,HR Support,Low
I need a new business card,HR Support,Low
The toaster is burnt,Hardware,Low
Internet is slow for upload,Hardware,Medium
I need to install MySQL,Access,Low
Grant me access to UAT,Access,Medium
Screen ghosting,Hardware,Low
We need to buy a license for Canva,Purchase,Low
Where do I submit investment declaration?,HR Support,Low
Cannot access the backup,Access,High
The proxy is blocking sites,Access,High
Caps lock is stuck,Hardware,Low
Requesting a quote for a NAS,Purchase,Low
Billing contact email bounce,Billing,Medium
I did not receive my night allowance,HR Support,Medium
Email keeps asking for password,Access,Medium
I need a replacement for my screen,Hardware,Medium
We need to purchase a label maker,Purchase,Low
The server room AC is noisy,Hardware,Medium
Forgot password for the insurance portal,Access,Medium
How many leaves do I get?,HR Support,Low
My laptop shocks me,Hardware,High
Please order 50 batteries,Purchase,Low
401 Unauthorized,Access,High
Tax calculation error,HR Support,Medium
Bluetooth is broken,Hardware,Low
We need to renew the cloud subscription,Purchase,High
Cannot print color,Hardware,Low
Payslip is not generated,HR Support,Medium
My external drive is clicking,Hardware,High
I need a cooling pad,Purchase,Low
Program won't open,Access,Low
Client wants to pay by check,Billing,Low
How do I change my pension?,HR Support,Low
The binding machine is broken,Hardware,Low
I need a license for Cinema 4D,Purchase,Low
Cannot connect to VPN from mobile,Access,Medium
My chair lift is broken,Hardware,Low
Please correct the date on invoice,Billing,Low
I need access to legal docs,Access,High
Laptop keyboard backlight is broken,Hardware,Low
Where can I find the resignation policy?,HR Support,Low
I forgot the server password,Access,High
We need to buy 5 scissors,Purchase,Low
The projector remote is lost,Hardware,Low
Invoice #665 is wrong,Billing,Medium
I cannot login to Bitbucket,Access,High
My computer lags,Hardware,Medium
Requesting a foot pedal,Purchase,Low
What is the notice period?,HR Support,Low
VPN client update needed,Access,Medium
My laptop charger sparks,Hardware,High
Remove tax from invoice,Billing,Low
Please order a microfiber cloth,Purchase,Low
I cannot access the onboarding,Access,Medium
System update stuck,Hardware,Medium
My headset is tight,Purchase,Low
We need a license for Grammarly,Purchase,Low
Salary credited to wrong bank,HR Support,High
I need to reset my physical key,Access,High
Fan is noisy,Hardware,Low
Quote for new carpet,Purchase,Low
Customer #774 wants to cancel,Billing,High
How do I claim certification?,HR Support,Low
I need a new bag,Purchase,Low
The dishwasher is full,Hardware,Low
Internet is down in lobby,Hardware,Medium
I need to install Postman,Access,Low
Grant me access to sandbox,Access,Medium
Screen burn in,Hardware,Low
We need to buy a license for Miro,Purchase,Low
Where do I submit tax proofs?,HR Support,Low
Cannot access archive,Access,Medium
The web server is down,Access,High
Num lock is broken,Hardware,Low
Requesting a quote for a scanner,Purchase,Low
Billing cycle alignment,Billing,Low
I did not receive my bonus,HR Support,High
Email font is small,Access,Low
I need a replacement keyboard,Hardware,Low
We need to purchase an eraser,Purchase,Low
The server rack is open,Hardware,Low
Forgot password for procurement,Access,Medium
How many sick days are paid?,HR Support,Low
My laptop screen flickers,Hardware,Medium
Please order 10 network cables,Purchase,Low
400 Bad Request,Access,Medium
Income tax mismatch,HR Support,Medium
Headphone jack is loose,Hardware,Low
We need to renew maintenance,Purchase,High
Cannot print A3,Hardware,Low
Payslip leave balance wrong,HR Support,Low
My SSD is slow,Hardware,Low
I need a document holder,Purchase,Low
App freezes on print,Access,Medium
Client #99 asked for invoice,Billing,Low
How do I withdraw PF?,HR Support,Low
The hole punch is broken,Hardware,Low
I need a license for Final Cut,Purchase,Low
Cannot connect to VPN from cafe,Access,Medium
My chair is torn,Hardware,Low
Please refund invoice #88,Billing,Medium
I need access to board minutes,Access,High
Laptop has no internet,Access,Medium
Where can I find the whistleblower policy?,HR Support,Low
I forgot the master password,Access,High
We need to buy 20 sticky notes,Purchase,Low
The TV has no signal,Hardware,Low
Invoice #112 is fraud,Billing,High
I cannot login to Slack,Access,High
My computer is hot,Hardware,High
Requesting a gel pad,Purchase,Low
What is the dating policy?,HR Support,Low
VPN is slow,Access,Medium
My laptop battery fluctuates,Hardware,Medium
Add comment to invoice,Billing,Low
Please order a duster,Purchase,Low
I cannot access voting,Access,Low
System hangs on shutdown,Hardware,Low
My headset is broken,Hardware,Medium
We need a license for Notion,Purchase,Low
Salary credited twice,HR Support,High
I need to reset authenticator,Access,High
Fan whistles,Hardware,Low
Quote for blinds,Purchase,Low
Customer #442 extend payment,Billing,Medium
How do I claim newspaper?,HR Support,Low
I need a new locker key,HR Support,Low
The stove is broken,Hardware,Low
Internet restricted,Access,Medium
I need to install C++,Access,Low
Grant me access to devops,Access,High
Screen scratched,Hardware,Low
We need to buy a license for Typeform,Purchase,Low
Where do I submit rent agreement?,HR Support,Low
Cannot access private folder,Access,High
The DHCP server is full,Access,High
Home key stuck,Hardware,Low
Requesting a quote for drone,Purchase,Low
Billing state wrong,Billing,Low
I did not receive confirmation,HR Support,Medium
Email spam filter too strong,Access,Medium
I need a replacement dock,Hardware,Medium
We need to purchase a coat rack,Purchase,Low
The server room is dirty,Hardware,Low
Forgot password for crm,Access,High
How many marriage leaves?,HR Support,Low
My laptop touchpad crazy,Hardware,Medium
Please order 3 cables,Purchase,Low
Connection refused,Access,High
Tax statement unclear,HR Support,Low
Speakers popping,Hardware,Low
We need to renew cleaning,Purchase,Low
Cannot print label,Hardware,Low
Payslip format wrong,HR Support,Low
My memory card error,Hardware,Medium
I need a phone stand,Purchase,Low
App unresponsive,Access,Medium
Client #33 question invoice,Billing,Low
How do I update mobile?,HR Support,Low
The glue gun broken,Hardware,Low
I need a license for Unity,Purchase,Low
Cannot connect to VPN from train,Access,Medium
My chair sinking,Hardware,Low
Please cancel invoice,Billing,Medium
I need access to ceo folder,Access,High
Laptop camera blurry,Hardware,Low
Where can I find ip policy?,HR Support,Low
I forgot api key,Access,Medium
We need to buy 50 bands,Purchase,Low
The projector hot,Hardware,Medium
Invoice #221 error,Billing,Medium
I cannot login to Trello,Access,Medium
My computer black screen,Hardware,High
Requesting monitor riser,Purchase,Low
What is moonlighting policy?,HR Support,Low
VPN token expired,Access,High
My laptop battery bulging,Hardware,High
Remove discount invoice,Billing,Low
Please order cleaning spray,Purchase,Low
I cannot access feedback,Access,Low
System reboots loop,Hardware,High
My headset mic loose,Hardware,Low
We need a license for Evernote,Purchase,Low
Salary unauthorized deduction,HR Support,High
I need to reset 2FA,Access,High
Fan max speed,Hardware,Low
Quote for new table,Purchase,Medium
Customer #552 dispute,Billing,High
How do I claim food?,HR Support,Low
I need a new token,Access,High
The fridge broken,Hardware,Low
Internet intermittent,Hardware,Medium
I need to install Ruby,Access,Low
Grant me access to demo,Access,Medium
Screen vertical line,Hardware,Medium
We need to buy a license for AirTable,Purchase,Low
Where do I submit receipts?,HR Support,Low
Cannot access public folder,Access,Low
The FTP server slow,Access,Medium
Delete key stuck,Hardware,Low
Requesting a quote for shredder,Purchase,Low
Billing period wrong,Billing,Low
I did not receive conveyance,HR Support,Medium
Email attachment blocked,Access,Medium
I need a replacement mouse pad,Purchase,Low
We need to purchase organizer,Purchase,Low
The server room light out,Hardware,Low
Forgot password for learning,Access,Medium
How many maternity leaves?,HR Support,Low
My laptop grinding,Hardware,High
Please order 5 strips,Purchase,Low
408 Timeout,Access,Medium
Tax code wrong,HR Support,Medium
Speakers buzzing,Hardware,Low
We need to renew lease,Purchase,High
Cannot print Chrome,Access,Low
Payslip zero earnings,HR Support,High
My flash drive read only,Hardware,Low
I need privacy filter,Purchase,Low
Program crash startup,Access,Medium
Client #12 check payment,Billing,Low
How do I update address?,HR Support,Low
The stapler jammed,Hardware,Low
I need a license for Corel,Purchase,Low
Cannot connect to VPN hotspot,Access,Medium
My chair back broken,Hardware,Low
Please void invoice,Billing,Medium
I need access to strategy,Access,High
Laptop rubber feet missing,Hardware,Low
Where can I find safety manual?,HR Support,Low
I forgot wifi user,Access,Low
We need to buy 100 clips,Purchase,Low
The HDMI port broken,Hardware,Medium
Invoice #332 underpaid,Billing,Medium
I cannot login to Azure,Access,High
My computer virus,Access,High
Requesting desk lamp,Purchase,Low
What is sabbatical policy?,HR Support,Low
VPN outdated,Access,Medium
My laptop shuts down 20%,Hardware,Medium
Change date invoice,Billing,Low
Please order screen wipe,Purchase,Low
I cannot access survey,Access,Low
System fan error,Hardware,High
My headset static,Hardware,Low
We need a license for Dropbox,Purchase,Low
Salary delayed,HR Support,Medium
I need to reset password manager,Access,High
Fan clicking,Hardware,Low
Quote for reception,Purchase,Medium
Customer #993 proforma,Billing,Low
How do I claim telephone?,HR Support,Low
I need a new gym card,HR Support,Low
The kettle broken,Hardware,Low
Internet slow lab,Hardware,Medium
I need to install Git,Access,Low
Grant me access to production,Access,High
Screen dead pixel,Hardware,Low
We need to buy a license for LucidChart,Purchase,Low
Where do I submit tax saving?,HR Support,Low
Cannot access team folder,Access,Medium
The mail server down,Access,High
Tab key broken,Hardware,Low
Requesting a quote for plotter,Purchase,Low
Billing contact name wrong,Billing,Low
I did not receive holiday pay,HR Support,High
Email images not loading,Access,Low
I need a replacement battery,Hardware,Medium
We need to purchase desk organizer,Purchase,Low
The server room wet,Hardware,High
Forgot password for insurance,Access,Medium
How many paternity leaves?,HR Support,Low
My laptop screen loose,Hardware,Medium
Please order 2 cables,Purchase,Low
503 Service Unavailable,Access,High
Tax deducted not reflected,HR Support,High
Microphone mute,Hardware,Low
We need to renew gym,Purchase,Low
Cannot print PDF,Access,Low
Payslip unreadable,HR Support,Low
My external SSD hot,Hardware,Medium
I need a stand fan,Purchase,Low
App slow,Access,Low
Client #55 not paid,Billing,High
How do I change bank?,HR Support,Low
The scissors dull,Hardware,Low
I need a license for Maya,Purchase,Low
Cannot connect to VPN airport,Access,Medium
My chair squeaking,Hardware,Low
Please resend invoice,Billing,Low
I need access to audit,Access,High
Laptop paint chipping,Hardware,Low
Where can I find social policy?,HR Support,Low
My NumPad 5 key is not registering,Hardware,Low
I need a letter for my visa application,HR Support,Medium
Where is the policy on intellectual property?,HR Support,Low
I cannot push code to the master branch,Access,High
Reset my password for the cloud console,Access,High
We need to order 5 privacy filters for 14-inch screens,Purchase,Low
My mouse scroll is jumping up and down,Hardware,Low
Requesting a license for Camtasia Studio,Purchase,Low
How do I apply for adoption leave?,HR Support,Low
The 3D printer bed is not heating up,Hardware,Medium
I need a new HDMI to VGA adapter,Hardware,Low
Portal for provident fund transfer is down,HR Support,High
Please unlock my SAP ID,Access,High
WiFi has high latency in the corner office,Hardware,Medium
I need a headset with a USB-C connector,Purchase,Low
Invoice #3091 has a calculation error,Billing,Medium
Client #404 wants to split the bill,Billing,Low
I cannot access the yearly tax reports,Access,High
System says 'Session Expired' immediately after login,Access,High
My webcam shutter is stuck closed,Hardware,Medium
I want to check my optional holiday list,HR Support,Low
Please buy a license for WebStorm,Purchase,Low
Laptop screen goes black when tilted,Hardware,High
Refund status for accidental subscription?,Billing,Medium
Permission denied when writing to /var/www,Access,High
I need my reliving letter from previous employment,HR Support,Low
The fingerprint reader is scratching my finger,Hardware,Medium
We need 3 monitor risers with drawers,Purchase,Low
Unrecognized transaction on the company card,Billing,High
Zoom keeps freezing on screen share,Access,High
My monitor has a red vertical line,Hardware,Low
What is the policy for team lunch expenses?,HR Support,Low
Urgent: Server room smoke detector is chirping,Hardware,High
I need delete access to the archive bucket,Access,Medium
Payment gateway rejected card for Order #991,Billing,High
Requesting a new set of highlighters,Purchase,Low
How do I update my permanent address?,HR Support,Low
VPN connects but drops packets,Access,High
Docking station is making a high pitched noise,Hardware,Medium
Update the shipping address for invoice #202,Billing,Low
Please order a bluetooth keyboard for tablet,Purchase,Low
I cannot view my team's leave calendar,HR Support,Medium
Account locked due to dormant status,Access,High
The projector image is shaking,Hardware,Medium
We need a subscription for Figma Organization,Purchase,Low
Salary was credited to the old bank account,HR Support,High
I need to reset my OTP generator,Access,High
The CPU fan is surging up and down,Hardware,Medium
Quote needed for a GPU server,Purchase,Low
Customer demands refund for downtime,Billing,Medium
How do I claim tuition reimbursement?,HR Support,Low
I lost my cabin keys,HR Support,Medium
The water cooler is dispensing hot water only,Hardware,Low
Internet is down for the design studio,Hardware,High
I need admin access to the Jira board,Access,Medium
Grant me access to the confidential wiki,Access,Medium
Screen is flickering white lines,Hardware,High
We need to buy a license for Monday.com Enterprise,Purchase,Low
Where do I upload my vaccination cert?,HR Support,Low
Cannot map the network drive S:,Access,Medium
The main database is in recovery mode,Access,High
Keyboard key 'Shift' is sticky,Hardware,Low
Requesting a quote for 10 drawing tablets,Purchase,Low
Billing cycle change request for Client Omega,Billing,Low
I did not receive my overtime payout,HR Support,High
Email is not syncing on iPad,Access,Medium
I need a replacement for my laptop hinge covers,Hardware,Low
We need a new switch for the server rack,Purchase,Medium
AC in the server room is freezing up,Hardware,High
Forgot username for the expense tool,Access,Medium
How many unpaid leaves can I take?,HR Support,Low
My laptop shuts down when I move it,Hardware,High
Please order 50 RJ45 connectors,Purchase,Low
404 error on the intranet home,Access,Medium
Tax deduction is missing from March payslip,HR Support,Medium
Microphone is robotic on Teams,Hardware,Low
We need to renew our SSL certificate for the blog,Purchase,High
Cannot print from the mobile app,Access,Medium
Payslip PDF is blank,HR Support,Low
My external SSD is running very hot,Hardware,Medium
I need a 34 inch ultrawide monitor,Purchase,Low
Software update failed with error 0x800,Access,Medium
Client was charged for a free trial,Billing,High
How do I add my parents to the health plan?,HR Support,Low
The shredder motor is burnt,Hardware,Low
I need a license for Microsoft Project Standard,Purchase,Low
Cannot connect to the office VPN from linux,Access,Medium
My chair headrest is missing,Hardware,Low
Please update the billing contact phone,Billing,Low
I need access to the GDPR logs,Access,High
Laptop screen is peeling,Hardware,Medium
Where can I find the relocation policy?,HR Support,Low
I forgot the password for the sudo user,Access,High
We need to buy 100 red pens,Purchase,Low
The conference mic is picking up static,Hardware,Medium
Invoice #992 is 90 days overdue,Billing,Medium
I cannot login to Salesforce Test,Access,High
My computer freezes when opening Illustrator,Hardware,Medium
Requesting a ergonomic foot rest,Purchase,Low
Is there a dress code for video calls?,HR Support,Low
VPN client says 'Gateway Unreachable',Access,High
My laptop battery drains in 45 minutes,Hardware,High
Update address on the next invoice #551,Billing,Low
Please order a privacy screen for Dell,Purchase,Low
I cannot access the travel booking system,Access,High
System asks for admin rights to update drivers,Access,Medium
My headset is playing audio in reverse,Hardware,Low
We need a license for Tableau Explorer,Purchase,Low
Discrepancy in weekend allowance,HR Support,Medium
I need to reset my desk phone PIN,Access,Low
Fan noise is rattling,Hardware,Low
Quote for new load balancer,Purchase,Medium
Customer #331 wants a partial refund,Billing,High
How do I claim LTA for my spouse?,HR Support,Low
I need a new badge holder,HR Support,Low
The coffee machine is leaking water,Hardware,Low
Internet is slow in the conference room A,Hardware,Medium
I need to install Python 3.10,Access,Low
Revoke access for the intern,Access,High
Monitor is too dark even at 100%,Hardware,Low
We need to buy a license for Asana Enterprise,Purchase,Low
Where do I submit vision care bills?,HR Support,Low
Cannot connect to the Active Directory,Access,High
The backup tape is stuck,Access,High
Spacebar is loose on keyboard,Hardware,Low
Requesting a quote for a barcode scanner,Purchase,Low
Billing issue with vendor Z Invoice #77,Billing,Medium
I did not receive my standby pay,HR Support,Medium
Email signature is missing title,Access,Low
I need a spare USB-C cable,Hardware,Low
We need to purchase a 4K monitor for the lobby,Purchase,Low
The server room door is creating an alarm,Hardware,High
Forgot password for the wiki admin,Access,Medium
How many sick leaves can I carry forward?,HR Support,Low
My desktop won't POST,Hardware,High
Please order 10 DisplayPort cables,Purchase,Low
502 Bad Gateway on the leave portal,Access,Medium
TDS deduction is incorrect for April,HR Support,Medium
Webcam is showing green screen,Hardware,Low
We need to renew the Office 365 E5 subscription,Purchase,High
Cannot scan to email from printer 3,Access,Medium
Payslip portal is timing out,HR Support,Low
My USB drive is not mounting,Hardware,Medium
I need a trackball mouse,Purchase,Low
Application crashes on startup error 0x1,Access,Medium
Client disputes the travel charges,Billing,Medium
How do I change my emergency contact address?,HR Support,Low
The laminator smells like burning,Hardware,High
I need a license for Zeplin,Purchase,Low
Cannot connect to the VPN from public wifi,Access,Medium
My desk leg is bent,Hardware,Low
Please update the PO number on invoice #771,Billing,Low
I need access to the data warehouse,Access,Medium
Laptop rubber foot is missing,Hardware,Low
Where can I find the new employee guide?,HR Support,Low
I forgot the admin password for the mac,Access,High
We need to buy 20 legal pads yellow,Purchase,Low
The TV in the breakroom is flickering,Hardware,Low
Invoice #881 was sent to the old address,Billing,Medium
I cannot login to Jira Mobile,Access,High
My computer is slow saving files,Hardware,Low
Requesting a lumbar support mesh,Purchase,Low
What are the IT support hours?,HR Support,Low
VPN authentication failed token invalid,Access,High
My laptop battery is not holding charge,Hardware,High
Correction needed on invoice #554 amount,Billing,Low
Please order a laptop riser,Purchase,Low
I cannot access the goal setting tool,Access,Medium
System keeps logging me out,Access,High
My headset wire is chewed,Hardware,Low
We need a license for JetBrains PyCharm,Purchase,Low
Bonus calculation seems wrong for H1,HR Support,Medium
I need to reset my iris scan,Access,Medium
Hard drive makes grinding sound,Hardware,High
Quote for cloud storage reduction,Purchase,Medium
Customer #112 is asking for a refund receipt,Billing,Low
How do I claim internet bill?,HR Support,Low
I need a new parking remote,HR Support,Low
The vending machine is stuck,Hardware,Low
Internet speed is fluctuating,Hardware,High
I need to install Node.js 16,Access,Low
Grant me access to the staging DB,Access,Medium
Screen colors are too warm,Hardware,Medium
We need to buy a license for Trello Gold,Purchase,Low
Where do I submit 80D proofs?,HR Support,Low
Cannot access the design drive,Access,High
The mail server is slow,Access,High
Enter key is double typing,Hardware,Medium
Requesting a quote for a portable monitor,Purchase,Low
Billing currency needs to be GBP,Billing,Low
I did not receive my incentive pay,HR Support,High
Email is going to clutter folder,Access,Medium
I need a replacement for my trackpad,Hardware,Low
We need to purchase a UPS for the switch,Purchase,Medium
The fire alarm is flashing,Hardware,High
Forgot password for the timesheet,Access,Medium
How many comp offs are expiring?,HR Support,Low
My laptop screen is dim,Hardware,High
Please order 20 binder clips,Purchase,Low
403 Forbidden on the payroll portal,Access,High
Professional tax is missing,HR Support,Medium
Speaker is muted stuck,Hardware,Low
We need to renew the antivirus for server,Purchase,High
Cannot print legal size,Hardware,Low
Payslip is missing details,HR Support,High
My SSD is failing read check,Hardware,High
I need a dual monitor arm,Purchase,Low
Software license expired on Adobe,Access,High
Client claims they paid invoice #44 already,Billing,High
How do I update my single status?,HR Support,Low
The paper shredder is jammed with plastic,Hardware,Low
I need a license for Corel VideoStudio,Purchase,Low
Cannot connect to the guest WiFi password wrong,Access,Low
My chair wheel is loose,Hardware,Low
Please split the invoice by project,Billing,Low
I need access to the brand assets,Access,Low
Laptop trackpad is cracked,Hardware,Medium
Where can I find the bullying policy?,HR Support,Low
I forgot the wifi user guest,Access,Low
We need to buy 100 green markers,Purchase,Low
The digital signage is off,Hardware,Low
Invoice #990 is missing GST,Billing,Medium
I cannot login to Confluence Cloud,Access,High
My computer restarts during update,Hardware,High
Requesting a back rest,Purchase,Low
Is Monday a holiday?,HR Support,Low
VPN connection unstable,Access,Medium
My laptop overheats on teams,Hardware,Medium
Change the billing name for Client C,Billing,Low
Please order a screen wipe,Purchase,Low
I cannot access the onboarding tool,Access,Medium
System requires boot disk,Hardware,High
My headset is loose on head,Purchase,Low
We need a license for 1Password Teams,Purchase,Low
Salary slip shows wrong grade,HR Support,Medium
I need to reset my PIN for door,Access,Medium
Fan is stopped spinning,Hardware,High
Quote for new access control,Purchase,Medium
Customer #881 wants to pause service,Billing,High
How do I claim taxi bills?,HR Support,Low
I need a new access badge,HR Support,Low
The microwave is making noise,Hardware,High
Internet is unstable on lan,Hardware,Medium
I need to install VS Code Insiders,Access,Low
Grant me access to the partner VPN,Access,Medium
Screen is too yellow,Hardware,Low
We need to buy a license for Apple Music,Purchase,Low
Where do I submit rent receipts?,HR Support,Low
Cannot access the shared scanner,Access,Medium
The DNS server is slow,Access,High
Shift key is missing,Hardware,Low
Requesting a quote for 10 headsets,Purchase,Low
Billing address city is wrong,Billing,Low
I did not receive my joining kit,HR Support,Medium
Email delivery delayed,Access,Medium
I need a replacement for my charger,Hardware,High
We need to purchase a heavy stapler,Purchase,Low
The server room is cold,Hardware,High
Forgot password for the travel site,Access,Medium
How many days of leave is unpaid?,HR Support,Low
My laptop freezes on boot,Hardware,High
Please order 5 surge protectors,Purchase,Low
500 Internal Server Error api,Access,High
PF deduction is high,HR Support,Medium
